# Generated by gen_gcbdata.py -- do not edit by hand.
# UCD 16.0.0 (uniseg)
#
# G;<lo>;<hi>;<class>   Grapheme_Cluster_Break (non-Other only)
# E;<lo>;<hi>           Extended_Pictographic
G;0000;0009;CONTROL
G;000A;000A;LF
G;000B;000C;CONTROL
G;000D;000D;CR
G;000E;001F;CONTROL
G;007F;009F;CONTROL
G;00AD;00AD;CONTROL
G;0300;036F;EXTEND
G;0483;0489;EXTEND
G;0591;05BD;EXTEND
G;05BF;05BF;EXTEND
G;05C1;05C2;EXTEND
G;05C4;05C5;EXTEND
G;05C7;05C7;EXTEND
G;0600;0605;PREPEND
G;0610;061A;EXTEND
G;061C;061C;CONTROL
G;064B;065F;EXTEND
G;0670;0670;EXTEND
G;06D6;06DC;EXTEND
G;06DD;06DD;PREPEND
G;06DF;06E4;EXTEND
G;06E7;06E8;EXTEND
G;06EA;06ED;EXTEND
G;070F;070F;PREPEND
G;0711;0711;EXTEND
G;0730;074A;EXTEND
G;07A6;07B0;EXTEND
G;07EB;07F3;EXTEND
G;07FD;07FD;EXTEND
G;0816;0819;EXTEND
G;081B;0823;EXTEND
G;0825;0827;EXTEND
G;0829;082D;EXTEND
G;0859;085B;EXTEND
G;0890;0891;PREPEND
G;0897;089F;EXTEND
G;08CA;08E1;EXTEND
G;08E2;08E2;PREPEND
G;08E3;0902;EXTEND
G;0903;0903;PACINGMARK
G;093A;093A;EXTEND
G;093B;093B;PACINGMARK
G;093C;093C;EXTEND
G;093E;0940;PACINGMARK
G;0941;0948;EXTEND
G;0949;094C;PACINGMARK
G;094D;094D;EXTEND
G;094E;094F;PACINGMARK
G;0951;0957;EXTEND
G;0962;0963;EXTEND
G;0981;0981;EXTEND
G;0982;0983;PACINGMARK
G;09BC;09BC;EXTEND
G;09BE;09BE;EXTEND
G;09BF;09C0;PACINGMARK
G;09C1;09C4;EXTEND
G;09C7;09C8;PACINGMARK
G;09CB;09CC;PACINGMARK
G;09CD;09CD;EXTEND
G;09D7;09D7;EXTEND
G;09E2;09E3;EXTEND
G;09FE;09FE;EXTEND
G;0A01;0A02;EXTEND
G;0A03;0A03;PACINGMARK
G;0A3C;0A3C;EXTEND
G;0A3E;0A40;PACINGMARK
G;0A41;0A42;EXTEND
G;0A47;0A48;EXTEND
G;0A4B;0A4D;EXTEND
G;0A51;0A51;EXTEND
G;0A70;0A71;EXTEND
G;0A75;0A75;EXTEND
G;0A81;0A82;EXTEND
G;0A83;0A83;PACINGMARK
G;0ABC;0ABC;EXTEND
G;0ABE;0AC0;PACINGMARK
G;0AC1;0AC5;EXTEND
G;0AC7;0AC8;EXTEND
G;0AC9;0AC9;PACINGMARK
G;0ACB;0ACC;PACINGMARK
G;0ACD;0ACD;EXTEND
G;0AE2;0AE3;EXTEND
G;0AFA;0AFF;EXTEND
G;0B01;0B01;EXTEND
G;0B02;0B03;PACINGMARK
G;0B3C;0B3C;EXTEND
G;0B3E;0B3F;EXTEND
G;0B40;0B40;PACINGMARK
G;0B41;0B44;EXTEND
G;0B47;0B48;PACINGMARK
G;0B4B;0B4C;PACINGMARK
G;0B4D;0B4D;EXTEND
G;0B55;0B57;EXTEND
G;0B62;0B63;EXTEND
G;0B82;0B82;EXTEND
G;0BBE;0BBE;EXTEND
G;0BBF;0BBF;PACINGMARK
G;0BC0;0BC0;EXTEND
G;0BC1;0BC2;PACINGMARK
G;0BC6;0BC8;PACINGMARK
G;0BCA;0BCC;PACINGMARK
G;0BCD;0BCD;EXTEND
G;0BD7;0BD7;EXTEND
G;0C00;0C00;EXTEND
G;0C01;0C03;PACINGMARK
G;0C04;0C04;EXTEND
G;0C3C;0C3C;EXTEND
G;0C3E;0C40;EXTEND
G;0C41;0C44;PACINGMARK
G;0C46;0C48;EXTEND
G;0C4A;0C4D;EXTEND
G;0C55;0C56;EXTEND
G;0C62;0C63;EXTEND
G;0C81;0C81;EXTEND
G;0C82;0C83;PACINGMARK
G;0CBC;0CBC;EXTEND
G;0CBE;0CBE;PACINGMARK
G;0CBF;0CC0;EXTEND
G;0CC1;0CC1;PACINGMARK
G;0CC2;0CC2;EXTEND
G;0CC3;0CC4;PACINGMARK
G;0CC6;0CC8;EXTEND
G;0CCA;0CCD;EXTEND
G;0CD5;0CD6;EXTEND
G;0CE2;0CE3;EXTEND
G;0CF3;0CF3;PACINGMARK
G;0D00;0D01;EXTEND
G;0D02;0D03;PACINGMARK
G;0D3B;0D3C;EXTEND
G;0D3E;0D3E;EXTEND
G;0D3F;0D40;PACINGMARK
G;0D41;0D44;EXTEND
G;0D46;0D48;PACINGMARK
G;0D4A;0D4C;PACINGMARK
G;0D4D;0D4D;EXTEND
G;0D4E;0D4E;PREPEND
G;0D57;0D57;EXTEND
G;0D62;0D63;EXTEND
G;0D81;0D81;EXTEND
G;0D82;0D83;PACINGMARK
G;0DCA;0DCA;EXTEND
G;0DCF;0DCF;EXTEND
G;0DD0;0DD1;PACINGMARK
G;0DD2;0DD4;EXTEND
G;0DD6;0DD6;EXTEND
G;0DD8;0DDE;PACINGMARK
G;0DDF;0DDF;EXTEND
G;0DF2;0DF3;PACINGMARK
G;0E31;0E31;EXTEND
G;0E33;0E33;PACINGMARK
G;0E34;0E3A;EXTEND
G;0E47;0E4E;EXTEND
G;0EB1;0EB1;EXTEND
G;0EB3;0EB3;PACINGMARK
G;0EB4;0EBC;EXTEND
G;0EC8;0ECE;EXTEND
G;0F18;0F19;EXTEND
G;0F35;0F35;EXTEND
G;0F37;0F37;EXTEND
G;0F39;0F39;EXTEND
G;0F3E;0F3F;PACINGMARK
G;0F71;0F7E;EXTEND
G;0F7F;0F7F;PACINGMARK
G;0F80;0F84;EXTEND
G;0F86;0F87;EXTEND
G;0F8D;0F97;EXTEND
G;0F99;0FBC;EXTEND
G;0FC6;0FC6;EXTEND
G;102D;1030;EXTEND
G;1031;1031;PACINGMARK
