# Generated by gen_wbdata.py -- do not edit by hand.
# UCD 16.0.0 (uniseg)
#
# W;<lo>;<hi>;<class>   Word_Break (non-Other only)
W;000A;000A;LF
W;000B;000C;NEWLINE
W;000D;000D;CR
W;0020;0020;WSEGSPACE
W;0022;0022;DOUBLE_QUOTE
W;0027;0027;SINGLE_QUOTE
W;002C;002C;MIDNUM
W;002E;002E;MIDNUMLET
W;0030;0039;NUMERIC
W;003A;003A;MIDLETTER
W;003B;003B;MIDNUM
W;0041;005A;ALETTER
W;005F;005F;EXTENDNUMLET
W;0061;007A;ALETTER
W;0085;0085;NEWLINE
W;00AA;00AA;ALETTER
W;00AD;00AD;FORMAT
W;00B5;00B5;ALETTER
W;00B7;00B7;MIDLETTER
W;00BA;00BA;ALETTER
W;00C0;00D6;ALETTER
W;00D8;00F6;ALETTER
W;00F8;02D7;ALETTER
W;02DE;02FF;ALETTER
W;0300;036F;EXTEND
W;0370;0374;ALETTER
W;0376;0377;ALETTER
W;037A;037D;ALETTER
W;037E;037E;MIDNUM
W;037F;037F;ALETTER
W;0386;0386;ALETTER
W;0387;0387;MIDLETTER
W;0388;038A;ALETTER
W;038C;038C;ALETTER
W;038E;03A1;ALETTER
W;03A3;03F5;ALETTER
W;03F7;0481;ALETTER
W;0483;0489;EXTEND
W;048A;052F;ALETTER
W;0531;0556;ALETTER
W;0559;055C;ALETTER
W;055E;055E;ALETTER
W;055F;055F;MIDLETTER
W;0560;0588;ALETTER
W;0589;0589;MIDNUM
W;058A;058A;ALETTER
W;0591;05BD;EXTEND
W;05BF;05BF;EXTEND
W;05C1;05C2;EXTEND
W;05C4;05C5;EXTEND
W;05C7;05C7;EXTEND
W;05D0;05EA;HEBREW_LETTER
W;05EF;05F2;HEBREW_LETTER
W;05F3;05F3;ALETTER
W;05F4;05F4;MIDLETTER
W;0600;0605;NUMERIC
W;060C;060D;MIDNUM
W;0610;061A;EXTEND
W;061C;061C;FORMAT
W;0620;064A;ALETTER
W;064B;065F;EXTEND
W;0660;0669;NUMERIC
